Latin_Name,NCRN_Common,Common,Family,Genus,Species,TSN,Favorite,Woody,Herbaceous,Targeted_Herb,Tree,Shrub,Vine,Exotic
Opuntia compressa,,,Cactaceae,Opuntia,compressa,19687,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Opuntia ficus-indica,,"Indian-fig, Nopal de Castilla, indian fig, tuna cactus",Cactaceae,Opuntia,ficus-indica,19706,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Opuntia humifusa,,"Nopal del este, devil's-tongue, pricklypear",Cactaceae,Opuntia,humifusa,19710,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Orchid family,Orchids,Orchids,Orchidaceae,,,43397,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Orchis spectabilis,,,Orchidaceae,Orchis,spectabilis,517895,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ornithogalum nutans,,drooping star of Bethlehem,Liliaceae,Ornithogalum,nutans,42755,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Ornithogalum umbellatum,sleepydick,"Pyrenees Star of Bethlehem, Star-of-Bethlehem, sleepydick",Liliaceae,Ornithogalum,umbellatum,42754,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Orobanche minor,,"hellroot, small broomrape",Orobanchaceae,Orobanche,minor,34292,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Orobanche uniflora,oneflowered broomrape,"naked broom-rape, naked broomrape, oneflowered broomrape",Orobanchaceae,Orobanche,uniflora,34300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Orontium aquaticum,goldenclub,goldenclub,Araceae,Orontium,aquaticum,42532,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Orthilia secunda,sidebells wintergreen,"oneside wintergreen, sidebells, sidebells wintergreen",Pyrolaceae,Orthilia,secunda,504066,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oryzopsis racemosa,,,Poaceae,Oryzopsis,racemosa,41991,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Osmanthus americanus,devilwood,devilwood,Oleaceae,Osmanthus,americanus,32992,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Osmorhiza claytonii,Clayton's sweetroot,"Clayton's sweetroot, hairy sweet-cicely",Apiaceae,Osmorhiza,claytonii,29789,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Osmorhiza longistylis,longstyle sweetroot,"aniseroot, longstyle sweetroot",Apiaceae,Osmorhiza,longistylis,29791,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Osmunda cinnamomea,cinnamon fern,cinnamon fern,Osmundaceae,Osmunda,cinnamomea,17219,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Osmunda claytoniana,interrupted fern,interrupted fern,Osmundaceae,Osmunda,claytoniana,17220,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Osmunda regalis,royal fern,royal fern,Osmundaceae,Osmunda,regalis,17218,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Ostrya virginiana,hop hornbeam,"eastern hophornbeam, hophornbeam",Betulaceae,Ostrya,virginiana,19511,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Oxalis corniculata,creeping woodsorrel,"'ihi, creeping oxalis, creeping woods, creeping woodsorrel, oxalis, yellow oxalis, yellow wood sorrel",Oxalidaceae,Oxalis,corniculata,29067,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Oxalis dillenii,,,Oxalidaceae,Oxalis,dillenii,29074,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis europaea,,,Oxalidaceae,Oxalis,europaea,518018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis florida,,,Oxalidaceae,Oxalis,florida,29076,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis fontana,,,Oxalidaceae,Oxalis,fontana,29079,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis grandis,,great yellow woodsorrel,Oxalidaceae,Oxalis,grandis,29083,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis montana,mountain woodsorrel,mountain woodsorrel,Oxalidaceae,Oxalis,montana,29090,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis spp.,,"wood sorrel, woodsorrel",Oxalidaceae,Oxalis,,29062,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Oxalis stricta,common yellow oxalis,"common yellow oxalis, erect woodsorrel, sheep sorrel, sourgrass, toad sorrel, upright yellow wood-sorrel, upright yellow woodsor",Oxalidaceae,Oxalis,stricta,29095,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
