Plot_Name,Event_Date,Event_Date_Txt,Event_Year,Unit_Code,Unit_Group,Subunit_Code,Protocol_Name,Panel,Frame,Cycle,Event_ID,numSeedPlots
MANA-0131,4/27/2016 0:00,20160427,2016,MANA,MANA,na,2.2,3,Region,3,{0FF9D21E-DBD5-4C30-BA4E-DD8A67028A4B},12
MANA-0131,8/5/2008 12:31,20080805,2008,MANA,MANA,na,1,3,Region,1,{7C9B9BDE-428C-45D0-A594-734A1C16E571},12
MANA-0131,5/31/2012 0:00,20120531,2012,MANA,MANA,na,2.0.1,3,Region,2,{1A9E52BC-EC75-447E-A38A-39EDB736DA29},12
MANA-0170,8/29/2011 9:07,20110829,2011,MANA,MANA,na,2.0.1,2,Region,2,{6736364E-F66B-44C2-848D-28F787A045B1},12
MANA-0170,5/8/2019 0:00,20190508,2019,MANA,MANA,na,,2,Region,4,20190508091009-533424019.813538,12
MANA-0170,6/13/2007 11:22,20070613,2007,MANA,MANA,na,1,2,Region,1,{BD876286-AA16-47C7-A438-FA95A522AFF7},12
MANA-0170,4/28/2015 0:00,20150428,2015,MANA,MANA,na,2.2,2,Region,3,{FC336253-2805-4018-B54B-01C6E06E91A7},12
MANA-0205,6/18/2008 10:21,20080618,2008,MANA,MANA,na,1,3,Region,1,{1FEF1EEF-BFBD-4059-A5EE-6BA2E705AC2C},12
MANA-0205,6/11/2012 0:00,20120611,2012,MANA,MANA,na,2.0.1,3,Region,2,{D4A52E94-4F46-4931-9D5B-C4A552B6E2C6},12
MANA-0205,4/29/2016 0:00,20160429,2016,MANA,MANA,na,2.2,3,Region,3,{42534C38-6C21-40FB-894C-B917AD6BB9C0},12
MANA-0218,6/8/2012 0:00,20120608,2012,MANA,MANA,na,2.0.1,3,Region,2,{19582110-CBBF-42C6-951B-B85C2823CD7E},12
MANA-0218,4/28/2016 0:00,20160428,2016,MANA,MANA,na,2.2,3,Region,3,{E4A367CF-E882-46B2-BB2A-BD4CDA154202},12
MANA-0218,9/29/2008 9:41,20080929,2008,MANA,MANA,na,1,3,Region,1,{A69987AF-7810-4FED-9CA5-AB2C9637EB47},12
MANA-0223,5/1/2017 0:00,20170501,2017,MANA,MANA,na,2.3,4,Region,3,{721DE567-DDF9-47F3-949E-801043B81536},12
MANA-0223,5/28/2013 0:00,20130528,2013,MANA,MANA,na,2.0.1,4,Region,2,{4A70A520-881C-4CF2-8299-1C4BF89F4E86},12
MANA-0223,6/16/2009 10:15,20090616,2009,MANA,MANA,na,2,4,Region,1,{1DB4EE1C-F2A5-4FF9-9789-1C8109964435},12
MANA-0229,6/10/2011 9:31,20110610,2011,MANA,MANA,na,2.0.1,2,Region,2,{224495F8-D118-4C8B-9057-6051336B9471},12
MANA-0229,5/7/2019 13:09,20190507,2019,MANA,MANA,na,,2,Region,4,20190503073501-814490020.275116,12
MANA-0229,6/14/2007 10:07,20070614,2007,MANA,MANA,na,1,2,Region,1,{CB4462CA-42F1-4917-BC79-DE77DD9C0E8C},12
